HCPCS_CODE,Description,B0_const,B1_time,B2_level,B3_slope,p_const,p_time,p_level,p_slope,ci_const_low,ci_const_high,ci_time_low,ci_time_high,ci_level_low,ci_level_high,ci_slope_low,ci_slope_high,R_squared,N_obs
95911,Nerve conduction studies (depending on number of nerves tested),3278.1571,30.2128,532.4828,-19.8049,1.65E-157,1.69E-05,0.0615,0.0923,3037.8710,3518.4433,16.4507,43.9749,-25.5529,1090.5185,-42.8626,3.2529,0.5362,75
96113," Developmental test administration, each additional 30 minutes. ",1171.9033,21.9828,317.4129,9.0884,8.39E-24,0.0076,0.0642,0.3965,943.5607,1400.2458,5.8415,38.1241,-18.6861,653.5118,-11.9206,30.0975,0.7058,63
96130," Psychological testing evaluation services, first hour. ",22548.3062,-376.5949,6374.9546,607.7696,1.95E-15,0.0743,0.0661,0.0067,16985.5270,28111.0854,-790.1864,36.9965,-424.8466,13174.7557,168.5823,1046.9570,0.3804,63
Agg_fluorescent_noninfectious_agent,,14392.9184,154.2963,3643.3576,-587.3896,2.40E-226,1.16E-11,0.0729,3.47E-18,13514.6326,15271.2042,109.7224,198.8703,-338.7684,7625.4836,-719.7968,-454.9825,0.6250,75
82785,IgE (total),24121.3718,33.1817,3254.2667,228.9647,2.68E-82,0.5636,0.0735,0.0122,21661.1665,26581.5771,-79.4369,145.8002,-309.9600,6818.4933,49.8162,408.1132,0.6118,75
93224,Holter monitor (24-48 hr ECG),3312.9835,-2.1538,413.6714,22.7913,6.82E-109,0.7581,0.0785,0.0205,3020.0845,3605.8826,-15.8596,11.5520,-47.1301,874.4729,3.5066,42.0760,0.4150,75
23500,Closed treatment of clavicular fracture; without manipulation,14.1141,-0.2983,11.7375,1.0400,0.0011,0.1197,0.0833,0.0007,5.6094,22.6188,-0.6740,0.0774,-1.5447,25.0196,0.4385,1.6415,0.4471,53
86255,"fluorescent noninfectious agent antibody screen (e.g., ANA, tissue antibodies) performed using immunofluorescence",11185.1857,127.6063,2899.1748,-492.0985,5.18E-221,1.91E-14,0.0876,2.86E-17,10494.3760,11875.9954,94.9414,160.2712,-427.4167,6225.7664,-606.2084,-377.9886,0.6337,75
86665,EBV antibodies,9871.8222,-39.3226,1585.7051,129.5221,1.06E-86,0.1966,0.0885,0.0023,8891.4593,10852.1852,-99.0095,20.3642,-239.0980,3410.5082,46.3952,212.6491,0.4185,75
93226,Holter monitor (24-48 hr ECG),4265.6742,34.2509,422.1153,-91.0715,6.11E-144,3.40E-07,0.0921,1.13E-18,3938.3969,4592.9515,21.0874,47.4144,-69.1192,913.3498,-111.3061,-70.8369,0.5238,75
82465,"Total cholesterol, serum",48310.2443,-15.4755,6078.9634,-205.6570,2.15E-138,0.8836,0.0944,0.1705,44529.0884,52091.4002,-222.5581,191.6071,-1043.3050,13201.2319,-499.7644,88.4504,0.0864,75
95907,Nerve conduction studies (depending on number of nerves tested),59.1393,-0.7953,-14.7443,0.4535,4.38E-06,0.1349,0.1051,0.4115,33.9001,84.3784,-1.8379,0.2474,-32.5744,3.0858,-0.6288,1.5359,0.4676,47
85384,Fibrinogen,4216.0007,235.3952,959.5010,-296.7829,2.86E-35,1.34E-27,0.1084,3.89E-31,3549.2247,4882.7767,193.0140,277.7765,-211.9026,2130.9046,-346.9067,-246.6590,0.8690,75
25600,Closed treatment of distal radius fracture; without manipulation,601.4058,-3.9552,223.1322,4.8793,8.35E-12,0.3081,0.1109,0.4523,428.8869,773.9247,-11.5606,3.6503,-51.1859,497.4503,-7.8462,17.6049,0.0915,75
Agg_cardiac_monitoring,,462.4685,139.9828,753.9395,222.9532,0.0024,1.12E-64,0.1153,1.39E-22,163.9719,760.9651,123.8263,156.1392,-184.2659,1692.1448,178.2661,267.6403,0.9627,75
82570,Creatinine (needed for normalization),232050.8821,203.9707,17100.6687,2075.9396,0.0000,0.4867,0.1178,2.43E-05,220454.9546,243646.8096,-370.8257,778.7670,-4327.6455,38528.9830,1112.0530,3039.8263,0.7101,75
95921,Cardiovagal (heart rate variability with deep breathing),2119.3905,0.3299,353.9005,12.4595,1.92E-36,0.9644,0.1229,0.1767,1789.9118,2448.8692,-14.1389,14.7987,-95.7115,803.5126,-5.6173,30.5363,0.3408,75
71250,CT Chest,24488.1426,307.8293,2343.3169,-69.2594,4.71E-276,2.97E-24,0.1293,0.2579,23136.1907,25840.0946,248.4502,367.2084,-684.2826,5370.9164,-189.2361,50.7172,0.7771,75
95908,Nerve conduction studies (depending on number of nerves tested),457.0666,-4.1916,60.2474,5.7027,5.75E-85,0.0002,0.1293,0.0005,411.2041,502.9291,-6.4328,-1.9504,-17.6055,138.1004,2.5091,8.8962,0.1206,75
85610,PT/INR,438265.5184,132.2220,18839.2508,-1793.7156,0.0000,0.6122,0.1403,0.0003,425573.0165,450958.0204,-379.0088,643.4529,-6196.9584,43875.4599,-2759.0178,-828.4134,0.2960,75
96121," Neurobehavioral status exam, each additional hour. ",533.8788,13.7902,-136.3620,-18.2820,0.0009,0.1366,0.1433,0.0519,218.2501,849.5076,-4.3662,31.9467,-318.9780,46.2540,-36.7129,0.1489,0.1616,63
94761,"Pulse oximetry (spot / overnight, sometimes used adjunctively)",20098.8917,-210.6674,1701.7499,213.2546,1.21E-250,8.83E-09,0.1504,4.62E-06,18933.9117,21263.8717,-282.4543,-138.8806,-617.2797,4020.7795,122.0242,304.4850,0.5150,75
Agg_fractures,,772.8599,-3.4725,271.9141,6.6220,2.01E-11,0.5166,0.1561,0.4570,546.9609,998.7590,-13.9658,7.0209,-103.8199,647.6481,-10.8260,24.0699,0.1237,75
88356,Morphometric analysis for nerve density (specifically for intra-epidermal nerve fiber density),1045.5637,-24.4109,63.6133,22.8723,4.01E-45,2.15E-16,0.1643,7.92E-14,900.1865,1190.9408,-30.2361,-18.5858,-26.0273,153.2540,16.8724,28.8723,0.8744,75
95885,Needle EMG,1475.3857,-1.5532,132.8394,10.9362,1.24E-70,0.6694,0.2003,0.0238,1312.6440,1638.1274,-8.6838,5.5773,-70.4629,336.1418,1.4554,20.4170,0.2712,75
