HCPCS_CODE,Description,B0_const,B1_time,B2_level,B3_slope,p_const,p_time,p_level,p_slope,ci_const_low,ci_const_high,ci_time_low,ci_time_high,ci_level_low,ci_level_high,ci_slope_low,ci_slope_high,Deviance,N_obs
Agg_fractures,,6.7056,-0.0099,0.5695,0.0132,0.0000,8.30E-64,3.36E-234,1.87E-62,6.6828,6.7284,-0.0110,-0.0087,0.5353,0.6036,0.0117,0.0148,9834.2007,69
95819,"EEG awake/asleep, 20-40 minutes",8.9053,-3.83E-05,0.1715,-0.0008,0.0000,0.8286,9.66E-218,0.0016,8.8980,8.9125,-0.0004,0.0003,0.1609,0.1822,-0.0013,-0.0003,8612.2428,69
93041,"Rhythm ECG (limited, interpretation dependent)",9.5184,0.0007,0.1283,-0.0131,0.0000,2.39E-07,5.03E-214,0.0000,9.5131,9.5238,0.0004,0.0009,0.1202,0.1363,-0.0135,-0.0127,4523.6892,69
25600,Closed treatment of distal radius fracture; without manipulation,6.4547,-0.0123,0.6162,0.0132,0.0000,1.17E-72,3.80E-200,7.38E-46,6.4286,6.4809,-0.0136,-0.0109,0.5762,0.6562,0.0114,0.0150,7487.5764,69
71250,CT Chest,10.1269,0.0096,0.0753,-0.0036,0.0000,0.0000,1.39E-192,4.93E-193,10.1231,10.1307,0.0094,0.0098,0.0703,0.0803,-0.0038,-0.0034,25290.4931,69
96112," Developmental test administration, first hour. ",8.8183,0.0174,0.1491,-0.0137,0.0000,0.0000,5.84E-186,0.0000,8.8096,8.8270,0.0168,0.0179,0.1391,0.1592,-0.0143,-0.0130,11254.3798,57
95813,"EEG >60 minutes, awake/drowsy/sleep/coma",7.1640,0.0004,0.3510,0.0033,0.0000,0.3798,2.98E-179,1.25E-08,7.1466,7.1813,-0.0005,0.0012,0.3269,0.3751,0.0021,0.0044,2120.0485,69
86147,Anticardiolipin antibodies (IgG/IgM),8.3718,0.0156,0.1549,-0.0099,0.0000,0.0000,1.53E-177,1.44E-303,8.3630,8.3806,0.0152,0.0160,0.1442,0.1655,-0.0104,-0.0094,5843.8868,69
86790,Viral serologies (lab dependent),6.3916,0.0205,-0.4409,-0.0154,0.0000,0.0000,1.66E-172,1.81E-87,6.3684,6.4148,0.0195,0.0215,-0.4718,-0.4101,-0.0169,-0.0139,2716.5768,69
83497,5-HIAA (sometimes used in differential),7.1212,-0.0283,-0.8455,0.0174,0.0000,0.0000,3.41E-169,1.82E-30,7.1012,7.1412,-0.0294,-0.0272,-0.9053,-0.7857,0.0145,0.0204,2048.9149,69
86148,Beta-2 glycoprotein,6.5274,0.0204,0.3547,-0.0506,0.0000,0.0000,7.34E-164,0.0000,6.5057,6.5490,0.0194,0.0213,0.3292,0.3802,-0.0520,-0.0492,2937.6018,69
81241,Factor V Leiden,7.5422,-0.0095,0.3305,0.0040,0.0000,6.26E-136,4.51E-161,5.02E-12,7.5272,7.5572,-0.0103,-0.0088,0.3066,0.3545,0.0028,0.0051,1586.0429,69
86317,N-protein,9.8953,0.0031,0.0835,0.0090,0.0000,3.43E-187,1.24E-156,0.0000,9.8910,9.8997,0.0029,0.0033,0.0774,0.0897,0.0087,0.0093,16513.4302,69
Agg_neurophysiologic/autonomic testing,,7.0442,-0.0279,0.6087,-0.0504,0.0000,0.0000,1.96E-155,3.39E-275,7.0234,7.0650,-0.0290,-0.0267,0.5638,0.6536,-0.0531,-0.0476,3217.3955,69
95910,Nerve conduction studies (depending on number of nerves tested),7.5136,-0.0021,0.2913,0.0017,0.0000,4.81E-09,3.44E-155,0.0008,7.4989,7.5283,-0.0028,-0.0014,0.2698,0.3128,0.0007,0.0027,4306.6371,69
Agg_cardiac_monitoring,,6.9676,0.0496,0.1508,-0.0210,0.0000,0.0000,1.24E-137,0.0000,6.9527,6.9825,0.0491,0.0502,0.1389,0.1626,-0.0216,-0.0203,8047.3783,69
86146,Anticardiolipin antibodies (IgG/IgM),7.8584,0.0214,0.1517,-0.0150,0.0000,0.0000,4.10E-124,0.0000,7.8473,7.8695,0.0209,0.0219,0.1391,0.1642,-0.0157,-0.0144,4726.5469,69
93308,TTE,8.2431,0.0178,0.1345,-0.0193,0.0000,0.0000,1.28E-122,0.0000,8.2338,8.2524,0.0174,0.0182,0.1233,0.1457,-0.0198,-0.0187,3635.7593,69
92588,"Distortion product otoacoustic emissions, comprehensive diagnostic evaluation",9.1005,-0.0076,0.1288,0.0157,0.0000,0.0000,8.69E-120,0.0000,9.0936,9.1073,-0.0080,-0.0073,0.1180,0.1397,0.0152,0.0162,10914.4460,69
