target_title,code,period_type,period_label,claims,exposure_months,rate_per_100000_member_months,poisson_ci_lower_per_100000,poisson_ci_upper_per_100000
HCPCS A0433,A0433,month,2021-03,3703,85910366.0,4.310306395388888,4.172583414212723,4.451417061670165
HCPCS A0433,A0433,month,2021-04,3519,86730928.0,4.0573761645903295,3.9244163229993134,4.19369211734417
HCPCS A0433,A0433,month,2021-05,3737,87232698.0,4.283944077941967,4.147682530444456,4.423541873952083
HCPCS A0433,A0433,month,2021-06,3526,87595760.0,4.025308987558302,3.8935299043609897,4.160411028429657
HCPCS A0433,A0433,month,2021-07,4155,88407727.0,4.699815435815921,4.557986111704687,4.844935734282066
HCPCS A0433,A0433,month,2021-08,3735,89007226.0,4.196288512575372,4.062779624785915,4.333067139229565
HCPCS A0433,A0433,month,2021-09,3582,89384641.0,4.007399884282132,3.8772282264122455,4.140827852301094
HCPCS A0433,A0433,month,2021-10,3489,90288880.0,3.8642632403901787,3.7370929474069294,3.9946574706783933
HCPCS A0433,A0433,month,2021-11,3262,90916915.0,3.5878912081431715,3.4658115204164215,3.7131731840789066
HCPCS A0433,A0433,month,2021-12,3630,91152624.0,3.982331874505335,3.8538256174596444,4.114031164190176
HCPCS A0433,A0433,month,2022-01,4004,92054533.0,4.349595690198113,4.215901983789488,4.486450303818635
HCPCS A0433,A0433,month,2022-02,2934,92416336.0,3.1747633881525013,3.0609156490823133,3.2917624645815735
HCPCS A0433,A0433,month,2022-03,3307,92843565.0,3.561905448158954,3.4415302899088083,3.6854163165612763
HCPCS A0433,A0433,month,2022-04,3207,93447612.5,3.4318693802904807,3.3141099905486175,3.552744491601372
HCPCS A0433,A0433,month,2022-05,3590,94051660.0,3.8170511822970483,3.6931996826745714,3.9439973885622264
HCPCS A0433,A0433,month,2022-06,3501,94517722.0,3.704067264761205,3.5823762690873053,3.8288379247594717
HCPCS A0433,A0433,month,2022-07,3751,95111777.0,3.943780800142132,3.8185714356945675,4.072050006259149
HCPCS A0433,A0433,month,2022-08,3739,95824368.0,3.901930248055484,3.7778525370787874,4.0290450730588985
HCPCS A0433,A0433,month,2022-09,3605,96242503.0,3.745746305039469,3.6244594781886956,3.8700573560932674
HCPCS A0433,A0433,month,2022-10,3532,96904625.0,3.644820874132684,3.525598627528999,3.7670468536055925
